============================================================================
|  Loan: 120000  |  Years: 5  |  Interest: 9360  |  Monthly Payment: 2156  |
============================================================================
|    Payment     |  Interest  |    Principal     |       Left to Pay       |
============================================================================
|       1        |    323     |       1833       |         129360          |
|       2        |    318     |       1838       |         127204          |
|       3        |    313     |       1843       |         125048          |
|       4        |    307     |       1849       |         122892          |
|       5        |    302     |       1854       |         120736          |
|       6        |    296     |       1860       |         118580          |
|       7        |    291     |       1865       |         116424          |
|       8        |    286     |       1870       |         114268          |
|       9        |    280     |       1876       |         112112          |
|       10       |    275     |       1881       |         109956          |
|       11       |    270     |       1886       |         107800          |
|       12       |    264     |       1892       |         105644          |
|       13       |    259     |       1897       |         103488          |
|       14       |    253     |       1903       |         101332          |
|       15       |    248     |       1908       |          99176          |
|       16       |    243     |       1913       |          97020          |
|       17       |    237     |       1919       |          94864          |
|       18       |    232     |       1924       |          92708          |
|       19       |    226     |       1930       |          90552          |
|       20       |    221     |       1935       |          88396          |
|       21       |    216     |       1940       |          86240          |
|       22       |    210     |       1946       |          84084          |
|       23       |    205     |       1951       |          81928          |
|       24       |    199     |       1957       |          79772          |
|       25       |    194     |       1962       |          77616          |
|       26       |    189     |       1967       |          75460          |
|       27       |    183     |       1973       |          73304          |
|       28       |    178     |       1978       |          71148          |
|       29       |    172     |       1984       |          68992          |
|       30       |    167     |       1989       |          66836          |
|       31       |    162     |       1994       |          64680          |
|       32       |    156     |       2000       |          62524          |
|       33       |    151     |       2005       |          60368          |
|       34       |    146     |       2010       |          58212          |
|       35       |    140     |       2016       |          56056          |
|       36       |    135     |       2021       |          53900          |
|       37       |    129     |       2027       |          51744          |
|       38       |    124     |       2032       |          49588          |
|       39       |    119     |       2037       |          47432          |
|       40       |    113     |       2043       |          45276          |
|       41       |    108     |       2048       |          43120          |
|       42       |    102     |       2054       |          40964          |
|       43       |     97     |       2059       |          38808          |
|       44       |     92     |       2064       |          36652          |
|       45       |     86     |       2070       |          34496          |
|       46       |     81     |       2075       |          32340          |
|       47       |     75     |       2081       |          30184          |
|       48       |     70     |       2086       |          28028          |
|       49       |     65     |       2091       |          25872          |
|       50       |     59     |       2097       |          23716          |
|       51       |     54     |       2102       |          21560          |
|       52       |     49     |       2107       |          19404          |
|       53       |     43     |       2113       |          17248          |
|       54       |     38     |       2118       |          15092          |
|       55       |     32     |       2124       |          12936          |
|       56       |     27     |       2129       |          10780          |
|       57       |     22     |       2134       |          8624           |
|       58       |     16     |       2140       |          6468           |
|       59       |     11     |       2145       |          4312           |
============================================================================
|       60       |     5      |       2151       |          2156           |
