|  Loan: 90000  |  Years: 25  |  Interest: 18000  |  Monthly Payment: 360  |
============================================================================
|    Payment    |  Interest   |     Principal     |      Left to Pay       |
============================================================================
|       1       |     135     |        225        |        108,000         |
|       2       |     135     |        225        |        107,640         |
|       3       |     134     |        226        |        107,280         |
|       4       |     134     |        226        |        106,920         |
|       5       |     133     |        227        |        106,560         |
|       6       |     133     |        227        |        106,200         |
|       7       |     132     |        228        |        105,840         |
|       8       |     132     |        228        |        105,480         |
|       9       |     131     |        229        |        105,120         |
|      10       |     131     |        229        |        104,760         |
|      11       |     130     |        230        |        104,400         |
|      12       |     130     |        230        |        104,040         |
|      13       |     130     |        230        |        103,680         |
|      14       |     129     |        231        |        103,320         |
|      15       |     129     |        231        |        102,960         |
|      16       |     128     |        232        |        102,600         |
|      17       |     128     |        232        |        102,240         |
|      18       |     127     |        233        |        101,880         |
|      19       |     127     |        233        |        101,520         |
|      20       |     126     |        234        |        101,160         |
|      21       |     126     |        234        |        100,800         |
|      22       |     126     |        234        |        100,440         |
|      23       |     125     |        235        |        100,080         |
|      24       |     125     |        235        |         99,720         |
|      25       |     124     |        236        |         99,360         |
|      26       |     124     |        236        |         99,000         |
|      27       |     123     |        237        |         98,640         |
|      28       |     123     |        237        |         98,280         |
|      29       |     122     |        238        |         97,920         |
|      30       |     122     |        238        |         97,560         |
|      31       |     122     |        238        |         97,200         |
|      32       |     121     |        239        |         96,840         |
|      33       |     121     |        239        |         96,480         |
|      34       |     120     |        240        |         96,120         |
|      35       |     120     |        240        |         95,760         |
|      36       |     119     |        241        |         95,400         |
|      37       |     119     |        241        |         95,040         |
|      38       |     118     |        242        |         94,680         |
|      39       |     118     |        242        |         94,320         |
|      40       |     117     |        243        |         93,960         |
|      41       |     117     |        243        |         93,600         |
|      42       |     117     |        243        |         93,240         |
|      43       |     116     |        244        |         92,880         |
|      44       |     116     |        244        |         92,520         |
|      45       |     115     |        245        |         92,160         |
|      46       |     115     |        245        |         91,800         |
|      47       |     114     |        246        |         91,440         |
|      48       |     114     |        246        |         91,080         |
|      49       |     113     |        247        |         90,720         |
|      50       |     113     |        247        |         90,360         |
|      51       |     112     |        248        |         90,000         |
|      52       |     112     |        248        |         89,640         |
|      53       |     112     |        248        |         89,280         |
|      54       |     111     |        249        |         88,920         |
|      55       |     111     |        249        |         88,560         |
|      56       |     110     |        250        |         88,200         |
|      57       |     110     |        250        |         87,840         |
